filename,width,height,class,xmin,ymin,xmax,ymax,path
00_s_DSCF1040.JPG,1024,900,2,129,596,403,775,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1040.JPG,1024,900,1,405,589,650,747,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1040.JPG,1024,900,4,647,585,867,737,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1068.JPG,1024,900,5,210,112,579,277,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1068.JPG,1024,900,1,690,504,958,677,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1074.JPG,1024,900,2,316,433,805,750,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1013.JPG,1024,900,1,341,555,478,622,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1013.JPG,1024,900,2,497,532,631,606,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1013.JPG,1024,900,3,649,515,778,590,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1013.JPG,1024,900,4,360,602,499,678,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1013.JPG,1024,900,5,527,591,663,666,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1013.JPG,1024,900,6,681,573,815,648,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1023.JPG,1024,900,2,535,383,756,532,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1070.JPG,1024,900,2,453,464,742,656,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1070.JPG,1024,900,6,428,325,675,497,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1092.JPG,1024,900,4,119,425,362,602,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1092.JPG,1024,900,5,459,500,709,670,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1092.JPG,1024,900,3,696,338,907,503,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1061.JPG,1024,900,6,136,542,519,802,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1061.JPG,1024,900,2,334,395,655,603,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1065.JPG,1024,900,5,197,339,425,439,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1065.JPG,1024,900,1,615,298,830,399,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
00_s_DSCF1116.JPG,1024,900,5,432,479,712,651,/home/sha_maayan/busProject/6_classes/augmentation/frcnn_aug_images/
