filename,width,height,class,xmin,ymin,xmax,ymax
s_DSCF1013.JPG,1024,900,1,341,555,478,622
s_DSCF1013.JPG,1024,900,2,497,532,631,606
s_DSCF1013.JPG,1024,900,3,649,515,778,590
s_DSCF1013.JPG,1024,900,4,360,602,499,678
s_DSCF1013.JPG,1024,900,5,527,591,663,666
s_DSCF1013.JPG,1024,900,6,681,573,815,648
s_DSCF1015.JPG,1024,900,3,179,441,511,734
s_DSCF1015.JPG,1024,900,6,576,336,891,577
s_DSCF1016.JPG,1024,900,4,299,606,612,807
s_DSCF1016.JPG,1024,900,6,548,420,835,604
s_DSCF1016.JPG,1024,900,3,671,235,942,444
s_DSCF1017.JPG,1024,900,4,514,229,736,368
s_DSCF1021.JPG,1024,900,5,558,248,817,427
s_DSCF1023.JPG,1024,900,2,535,383,756,532
s_DSCF1025.JPG,1024,900,6,276,516,627,750
s_DSCF1029.JPG,1024,900,6,36,542,392,783
s_DSCF1029.JPG,1024,900,2,408,353,723,628
s_DSCF1029.JPG,1024,900,1,716,271,1013,536
s_DSCF1032.JPG,1024,900,5,40,394,316,548
s_DSCF1032.JPG,1024,900,6,656,370,913,520
s_DSCF1037.JPG,1024,900,1,339,563,752,774
s_DSCF1038.JPG,1024,900,2,339,580,832,842
s_DSCF1040.JPG,1024,900,2,129,596,403,775
s_DSCF1040.JPG,1024,900,1,405,589,650,747
s_DSCF1040.JPG,1024,900,4,647,585,867,737
s_DSCF1042.JPG,1024,900,5,567,553,851,719
s_DSCF1044.JPG,1024,900,6,409,394,675,566
s_DSCF1048.JPG,1024,900,4,124,404,311,507
s_DSCF1048.JPG,1024,900,5,420,388,607,485
s_DSCF1048.JPG,1024,900,3,704,361,902,463
s_DSCF1049.JPG,1024,900,4,134,328,356,455
s_DSCF1049.JPG,1024,900,5,482,392,689,522
s_DSCF1049.JPG,1024,900,3,774,448,972,562
s_DSCF1050.JPG,1024,900,5,127,251,353,372
s_DSCF1050.JPG,1024,900,3,496,265,718,385
s_DSCF1053.JPG,1024,900,1,259,505,542,675
s_DSCF1053.JPG,1024,900,6,564,496,848,668
s_DSCF1056.JPG,1024,900,2,131,314,478,522
s_DSCF1056.JPG,1024,900,6,477,313,819,531
s_DSCF1059.JPG,1024,900,2,342,326,652,559
s_DSCF1061.JPG,1024,900,6,136,542,519,802
s_DSCF1061.JPG,1024,900,2,334,395,655,603
s_DSCF1064.JPG,1024,900,3,673,117,901,288
s_DSCF1064.JPG,1024,900,2,164,243,424,433
s_DSCF1065.JPG,1024,900,5,197,339,425,439
s_DSCF1065.JPG,1024,900,1,615,298,830,399
s_DSCF1066.JPG,1024,900,1,286,368,487,477
s_DSCF1066.JPG,1024,900,5,568,368,763,474
s_DSCF1068.JPG,1024,900,5,210,112,579,277
s_DSCF1068.JPG,1024,900,1,690,504,958,677
s_DSCF1070.JPG,1024,900,2,453,464,742,656
s_DSCF1070.JPG,1024,900,6,428,325,675,497
s_DSCF1072.JPG,1024,900,3,209,398,466,578
s_DSCF1072.JPG,1024,900,2,534,481,806,657
s_DSCF1074.JPG,1024,900,2,316,433,805,750
s_DSCF1077.JPG,1024,900,6,86,421,398,625
s_DSCF1077.JPG,1024,900,1,477,441,795,646
s_DSCF1081.JPG,1024,900,4,414,421,614,551
s_DSCF1082.JPG,1024,900,5,279,190,548,366
s_DSCF1082.JPG,1024,900,4,594,197,860,375
s_DSCF1086.JPG,1024,900,4,200,320,371,429
s_DSCF1086.JPG,1024,900,2,412,319,581,429
s_DSCF1086.JPG,1024,900,1,610,330,777,443
s_DSCF1086.JPG,1024,900,3,807,325,976,443
s_DSCF1088.JPG,1024,900,5,345,144,567,283
s_DSCF1088.JPG,1024,900,2,372,501,555,623
s_DSCF1090.JPG,1024,900,1,538,257,727,379
s_DSCF1092.JPG,1024,900,4,119,425,362,602
s_DSCF1092.JPG,1024,900,5,459,500,709,670
s_DSCF1092.JPG,1024,900,3,696,338,907,503
s_DSCF1094.JPG,1024,900,4,386,340,664,532
s_DSCF1097.JPG,1024,900,5,372,211,696,420
s_DSCF1099.JPG,1024,900,6,312,182,624,368
s_DSCF1101.JPG,1024,900,2,284,352,542,518
s_DSCF1103.JPG,1024,900,6,414,177,608,296
s_DSCF1103.JPG,1024,900,5,327,618,566,788
s_DSCF1104.JPG,1024,900,5,481,162,673,270
s_DSCF1104.JPG,1024,900,1,458,586,675,726
s_DSCF1105.JPG,1024,900,2,305,334,674,582
s_DSCF1106.JPG,1024,900,2,337,353,661,559
s_DSCF1109.JPG,1024,900,3,295,288,626,502
s_DSCF1110.JPG,1024,900,3,192,244,517,459
s_DSCF1110.JPG,1024,900,1,538,260,868,472
s_DSCF1111.JPG,1024,900,6,530,285,817,474
s_DSCF1111.JPG,1024,900,2,188,287,481,479
s_DSCF1114.JPG,1024,900,6,430,387,709,554
s_DSCF1116.JPG,1024,900,5,432,479,712,651
s_DSCF1120.JPG,1024,900,3,346,419,718,651
s_DSCF1122.JPG,1024,900,5,415,312,698,490
s_DSCF1125.JPG,1024,900,1,274,305,458,442
s_DSCF1125.JPG,1024,900,6,336,458,565,617
s_DSCF1125.JPG,1024,900,2,675,411,897,563
s_DSCF1129.JPG,1024,900,6,395,582,617,747
s_DSCF1130.JPG,1024,900,1,425,561,637,716
s_DSCF1132.JPG,1024,900,1,772,330,909,412
s_DSCF1132.JPG,1024,900,4,640,420,891,592
s_DSCF1132.JPG,1024,900,5,48,547,443,790
s_DSCF1133.JPG,1024,900,1,379,392,699,668
s_DSCF1135.JPG,1024,900,6,505,405,675,523
s_DSCF1137.JPG,1024,900,2,527,373,765,530
s_DSCF1140.JPG,1024,900,6,483,195,704,288
s_DSCF1141.JPG,1024,900,2,503,218,722,309
s_DSCF1142.JPG,1024,900,2,256,394,505,522
s_DSCF1142.JPG,1024,900,1,564,398,810,525
