filename,width,height,class,xmin,ymin,xmax,ymax
aug_DSCF1013.JPG,300,225,bus,120,201,212,151
aug_DSCF1013.JPG,300,225,bus,119,87,178,119
aug_DSCF1013.JPG,300,225,bus,154,122,91,78
aug_DSCF1013.JPG,300,225,bus,76,190,201,131
aug_DSCF1013.JPG,300,225,bus,172,104,277,127
aug_DSCF1013.JPG,300,225,bus,237,79,164,67
aug_DSCF1015.JPG,300,225,bus,181,31,262,75
aug_DSCF1015.JPG,300,225,bus,158,103,206,51
aug_DSCF1016.JPG,300,225,bus,130,106,63,191
aug_DSCF1016.JPG,300,225,bus,135,36,203,89
aug_DSCF1016.JPG,300,225,bus,206,96,124,63
aug_DSCF1017.JPG,300,225,bus,216,75,116,-17
aug_DSCF1021.JPG,300,225,bus,166,57,266,68
aug_DSCF1023.JPG,300,225,bus,216,157,277,213
aug_DSCF1025.JPG,300,225,bus,140,130,38,78
aug_DSCF1029.JPG,300,225,bus,96,131,141,88
aug_DSCF1029.JPG,300,225,bus,211,72,237,148
aug_DSCF1029.JPG,300,225,bus,92,138,173,96
aug_DSCF1032.JPG,300,225,bus,163,151,142,221
aug_DSCF1032.JPG,300,225,bus,111,34,194,56
aug_DSCF1037.JPG,300,225,bus,84,92,149,57
aug_DSCF1038.JPG,300,225,bus,90,125,158,123
aug_DSCF1040.JPG,300,225,bus,102,157,158,184
aug_DSCF1040.JPG,300,225,bus,70,106,148,139
aug_DSCF1040.JPG,300,225,bus,115,167,73,71
aug_DSCF1042.JPG,300,225,bus,108,173,57,57
aug_DSCF1044.JPG,300,225,bus,148,64,61,140
aug_DSCF1048.JPG,300,225,bus,74,179,133,122
aug_DSCF1048.JPG,300,225,bus,180,112,237,159
aug_DSCF1048.JPG,300,225,bus,206,152,141,176
aug_DSCF1049.JPG,300,225,bus,109,120,144,182
aug_DSCF1049.JPG,300,225,bus,165,139,59,190
aug_DSCF1049.JPG,300,225,bus,263,74,234,122
aug_DSCF1050.JPG,300,225,bus,131,110,167,73
aug_DSCF1050.JPG,300,225,bus,149,70,261,78
aug_DSCF1053.JPG,300,225,bus,236,151,230,87
aug_DSCF1053.JPG,300,225,bus,53,162,7,196
aug_DSCF1056.JPG,300,225,bus,13,161,110,156
aug_DSCF1056.JPG,300,225,bus,160,91,81,47
aug_DSCF1059.JPG,300,225,bus,128,166,202,60
aug_DSCF1061.JPG,300,225,bus,189,65,223,152
aug_DSCF1061.JPG,300,225,bus,38,105,80,46
aug_DSCF1064.JPG,300,225,bus,93,66,160,142
aug_DSCF1064.JPG,300,225,bus,157,105,216,132
aug_DSCF1065.JPG,300,225,bus,135,106,24,146
aug_DSCF1065.JPG,300,225,bus,189,134,217,209
aug_DSCF1066.JPG,300,225,bus,150,183,247,110
aug_DSCF1066.JPG,300,225,bus,50,63,110,41
aug_DSCF1068.JPG,300,225,bus,158,95,83,136
aug_DSCF1068.JPG,300,225,bus,122,76,65,84
aug_DSCF1070.JPG,300,225,bus,249,179,166,138
aug_DSCF1070.JPG,300,225,bus,169,70,131,72
aug_DSCF1072.JPG,300,225,bus,92,137,11,98
aug_DSCF1072.JPG,300,225,bus,185,205,236,157
aug_DSCF1074.JPG,300,225,bus,57,30,114,95
aug_DSCF1077.JPG,300,225,bus,-6,106,170,119
aug_DSCF1077.JPG,300,225,bus,147,167,36,129
aug_DSCF1081.JPG,300,225,bus,168,193,225,120
aug_DSCF1082.JPG,300,225,bus,171,19,104,81
aug_DSCF1082.JPG,300,225,bus,199,44,111,82
