filename,width,height,class,xmin,ymin,xmax,ymax
s_DSCF1013.JPG,300,225,1,100,138,140,155
s_DSCF1013.JPG,300,225,2,145,133,184,151
s_DSCF1013.JPG,300,225,3,190,128,228,147
s_DSCF1013.JPG,300,225,4,105,150,146,169
s_DSCF1013.JPG,300,225,5,154,147,194,166
s_DSCF1013.JPG,300,225,6,199,143,238,162
s_DSCF1015.JPG,300,225,3,52,110,149,183
s_DSCF1015.JPG,300,225,6,168,84,261,144
s_DSCF1016.JPG,300,225,4,87,151,179,201
s_DSCF1016.JPG,300,225,6,160,105,244,151
s_DSCF1016.JPG,300,225,3,196,58,275,111
s_DSCF1017.JPG,300,225,4,150,57,215,92
s_DSCF1021.JPG,300,225,5,163,62,239,106
s_DSCF1023.JPG,300,225,2,156,95,221,133
s_DSCF1025.JPG,300,225,6,81,129,183,187
s_DSCF1029.JPG,300,225,6,10,135,115,195
s_DSCF1029.JPG,300,225,2,119,88,212,157
s_DSCF1029.JPG,300,225,1,209,67,296,134
s_DSCF1032.JPG,300,225,5,11,98,92,137
s_DSCF1032.JPG,300,225,6,192,92,267,130
s_DSCF1037.JPG,300,225,1,99,140,220,193
s_DSCF1038.JPG,300,225,2,99,145,243,210
s_DSCF1040.JPG,300,225,2,37,149,118,193
s_DSCF1040.JPG,300,225,1,118,147,190,186
s_DSCF1040.JPG,300,225,4,189,146,254,184
s_DSCF1042.JPG,300,225,5,166,138,249,179
s_DSCF1044.JPG,300,225,6,120,98,197,141
s_DSCF1048.JPG,300,225,4,36,101,91,126
s_DSCF1048.JPG,300,225,5,123,97,177,121
s_DSCF1048.JPG,300,225,3,206,90,264,115
s_DSCF1049.JPG,300,225,4,39,82,104,113
s_DSCF1049.JPG,300,225,5,141,98,202,130
s_DSCF1049.JPG,300,225,3,226,112,284,140
s_DSCF1050.JPG,300,225,5,37,62,103,93
s_DSCF1050.JPG,300,225,3,145,66,210,96
s_DSCF1053.JPG,300,225,1,76,126,158,168
s_DSCF1053.JPG,300,225,6,165,124,248,167
s_DSCF1056.JPG,300,225,2,38,78,140,130
s_DSCF1056.JPG,300,225,6,139,78,240,132
s_DSCF1059.JPG,300,225,2,100,81,191,139
s_DSCF1061.JPG,300,225,6,40,135,152,200
s_DSCF1061.JPG,300,225,2,97,98,192,150
s_DSCF1064.JPG,300,225,3,197,29,263,72
s_DSCF1064.JPG,300,225,2,48,60,124,108
s_DSCF1065.JPG,300,225,5,57,84,124,109
s_DSCF1065.JPG,300,225,1,180,74,243,99
s_DSCF1066.JPG,300,225,1,83,92,142,119
s_DSCF1066.JPG,300,225,5,166,92,223,118
s_DSCF1068.JPG,300,225,5,61,28,169,69
s_DSCF1068.JPG,300,225,1,202,126,280,169
s_DSCF1070.JPG,300,225,2,132,116,217,164
s_DSCF1070.JPG,300,225,6,125,81,197,124
s_DSCF1072.JPG,300,225,3,61,99,136,144
s_DSCF1072.JPG,300,225,2,156,120,236,164
s_DSCF1074.JPG,300,225,2,92,108,235,187
s_DSCF1077.JPG,300,225,6,25,105,116,156
s_DSCF1077.JPG,300,225,1,139,110,232,161
s_DSCF1081.JPG,300,225,4,121,105,180,137
s_DSCF1082.JPG,300,225,5,81,47,160,91
s_DSCF1082.JPG,300,225,4,174,49,251,93
s_DSCF1086.JPG,300,225,4,58,80,108,107
s_DSCF1086.JPG,300,225,2,120,79,170,107
s_DSCF1086.JPG,300,225,1,178,82,227,110
s_DSCF1086.JPG,300,225,3,236,81,286,110
s_DSCF1088.JPG,300,225,5,101,36,166,70
s_DSCF1088.JPG,300,225,2,109,125,162,155
s_DSCF1090.JPG,300,225,1,157,64,213,94
s_DSCF1092.JPG,300,225,4,34,106,106,150
